1|Incheon<1:4|Dongincheon>
4|Seoul Racecource Paek<4:2|Seonbawi,4:2|Seoul Grand Park>
4|Seoul Grand Park<4:2|Seoul Racecource Paek,4:2|Gwacheon>
4|Gwacheon<4:2|Seoul Grand Park,4:2|Government Complex Gwacheon>
4|Government Complex Gwacheon<4:2|Gwacheon,4:4|Indeogwon>
4|Indeogwon<4:4|Government Complex Gwacheon,4:3|Pyeongchon>
4|Pyeongchon<4:3|Indeogwon,4:2|Beomgye>
4|Beomgye<4:2|Pyeongchon,4:4|Geumjeong>
4|Geumjeong<4:4|Beomgye,4:4|Sanbon>
4|Sanbon<4:4|Geumjeong,4:2|Surisan>
4|Surisan<4:2|Sanbon,4:3|Daeyami>
4|Daeyami<4:3|Surisan,4:3|Banwol>
4|Banwol<4:3|Daeyami,4:4|Sangnoksu>
4|Sangnoksu<4:4|Banwol,4:2|Hanyang University at Ansan>
4|Hanyang University at Ansan<4:2|Sangnoksu,4:2|Jungang>
4|Jungang<4:2|Hanyang University at Ansan,4:2|Gojan>
4|Gojan<4:2|Jungang,4:3|Gongdan>
4|Gongdan<4:3|Gojan,4:3|Ansan>
4|Ansan<4:3|Gongdan,4:3|Singil oncheon>
4|Singil oncheon<4:3|Ansan,4:4|Jeongwang>
4|Jeongwang<4:4|Singil oncheon,4:3|Oido>
4|Oido<4:3|Jeongwang>
5|Banghwa<5:2|Gaehwasan>
5|Gaehwasan<5:2|Banghwa,5:2|Gimpo Int'l Airport>
5|Gimpo Int'l Airport<5:2|Gaehwasan,5:2|Songjeong>
5|Songjeong<5:2|Gimpo Int'l Airport,5:2|Magok>
5|Magok<5:2|Songjeong,5:2|Balsan>
5|Balsan<5:2|Magok,5:2|Ujangsan>
5|Ujangsan<5:2|Balsan,5:2|Hwagok>
5|Hwagok<5:2|Ujangsan,5:2|Kkachisan>
5|Kkachisan<5:2|Hwagok,5:2|Sinjeong>
5|Sinjeong<5:2|Kkachisan,5:2|Mok-dong>
5|Mok-dong<5:2|Sinjeong,5:2|Omokgyo>
5|Omokgyo<5:2|Mok-dong,5:2|Yangpyeong>
5|Yangpyeong<5:2|Omokgyo,5:2|Yeongdeungpo-gu Office>
5|Yeongdeungpo-gu Office<5:2|Yangpyeong,5:2|Yeongdeungpo Market>
5|Yeongdeungpo Market<5:2|Yeongdeungpo-gu Office,5:2|Singil>
5|Singil<5:2|Yeongdeungpo Market,5:2|Yeouido>
5|Yeouido<5:2|Singil,5:2|Yeouinaru>
5|Yeouinaru<5:2|Yeouido,5:3|Mapo>
5|Mapo<5:3|Yeouinaru,5:2|Gongdeok>
5|Gongdeok<5:2|Mapo,5:2|Aeogae>
5|Aeogae<5:2|Gongdeok,5:2|Chungjeongno>
5|Chungjeongno<5:2|Aeogae,5:2|Seodaemun>
5|Seodaemun<5:2|Chungjeongno,5:2|Gwanghwamun>
5|Gwanghwamun<5:2|Seodaemun,5:2|Jongno 3(sam)-ga>
5|Jongno 3(sam)-ga<5:2|Gwanghwamun,5:2|Euljiro 4(sa)-ga>
5|Euljiro 4(sa)-ga<5:2|Jongno 3(sam)-ga,5:2|Dongdaemun Stadium>
5|Dongdaemun Stadium<5:2|Euljiro 4(sa)-ga,5:2|Cheonggu>
5|Cheonggu<5:2|Dongdaemun Stadium,5:2|Singeumbo>
5|Singeumbo<5:2|Cheonggu,5:2|Haengdang>
5|Haengdang<5:2|Singeumbo,5:2|Wangsimni>
5|Wangsimni<5:2|Haengdang,5:2|Majang>
5|Majang<5:2|Wangsimni,5:2|Dapsimni>
5|Dapsimni<5:2|Majang,5:2|Janghanpyeong>
5|Janghanpyeong<5:2|Dapsimni,5:2|Gunja>
5|Gunja<5:2|Janghanpyeong,5:2|Achasan>
5|Achasan<5:2|Gunja,5:2|Gwangnaru>
5|Gwangnaru<5:2|Achasan,5:3|Cheonho>
5|Cheonho<5:3|Gwangnaru,5:2|Gangdong>
5|Gangdong<5:2|Cheonho,5:2|Gil-dong,5:2|Dunchon-dong>
5|Gil-dong<5:2|Gangdong,5:2|Gubeundari>
5|Gubeundari<5:2|Gil-dong,5:2|Myeongil>
5|Myeongil<5:2|Gubeundari,5:2|Godeok>
5|Godeok<5:2|Myeongil,5:2|Sangil-dong>
5|Sangil-dong<5:2|Godeok>
5|Dunchon-dong<5:2|Gangdong,5:2|Olympic Park>
5|Olympic Park<5:2|Dunchon-dong,5:2|Bangi>
5|Bangi<5:2|Olympic Park,5:2|Ogeum>
5|Ogeum<5:2|Bangi,5:2|Gaerong>
5|Gaerong<5:2|Ogeum,5:2|Geoyeo>
5|Geoyeo<5:2|Gaerong,5:2|Macheon>
5|Macheon<5:2|Geoyeo>
6|Bonghwasan<6:2|Hwarangdae>
6|Hwarangdae<6:2|Bonghwasan,6:2|Taereung>
6|Taereung<6:2|Hwarangdae,6:2|Seokgye>
6|Seokgye<6:2|Taereung,6:2|Dolgoji>
6|Dolgoji<6:2|Seokgye,6:2|Sangwolgok>
6|Sangwolgok<6:2|Dolgoji,6:2|Wolgok>
6|Wolgok<6:2|Sangwolgok,6:2|Korea University>
6|Korea University<6:2|Wolgok,6:2|Anam>
6|Anam<6:2|Korea University,6:2|Bomun>
6|Bomun<6:2|Anam,6:2|Changsin>
6|Changsin<6:2|Bomun,6:2|Dongmyo>
6|Dongmyo<6:2|Changsin,6:2|Sindang>
6|Sindang<6:2|Dongmyo,6:2|Cheonggu>
6|Cheonggu<6:2|Sindang,6:2|Yaksu>
6|Yaksu<6:2|Cheonggu,6:2|Beotigogae>
6|Beotigogae<6:2|Yaksu,6:2|Hangangjin>
6|Hangangjin<6:2|Beotigogae,6:2|Itaewon>
6|Itaewon<6:2|Hangangjin,6:2|Noksapyeong>
6|Noksapyeong<6:2|Itaewon,6:2|Samgakji>
6|Samgakji<6:2|Noksapyeong,6:2|Hyochang Park>
6|Hyochang Park<6:2|Samgakji,6:2|Gongdeok>
6|Gongdeok<6:2|Hyochang Park,6:2|Daeheung>
6|Daeheung<6:2|Gongdeok,6:2|Gwangheungchang>
6|Gwangheungchang<6:2|Daeheung,6:2|Sangsu>
6|Sangsu<6:2|Gwangheungchang,6:2|Hapjeong>
6|Hapjeong<6:2|Sangsu,6:2|Mangwon>
6|Mangwon<6:2|Hapjeong,6:2|Mapo-gu Office>
6|Mapo-gu Office<6:2|Mangwon,6:2|World Cup Stadium>
6|World Cup Stadium<6:2|Mapo-gu Office,6:2|Susaek>
6|Susaek<6:2|World Cup Stadium,6:2|Jeungsan>
6|Jeungsan<6:2|Susaek,6:2|Saejeol>
6|Saejeol<6:2|Jeungsan,6:2|Eungam>
6|Eungam<6:2|Saejeol,6:2|Yeokchon>
6|Yeokchon<6:2|Bulgwang>
6|Bulgwang<6:2|Dokbawi>
6|Dokbawi<6:3|Yeonsinnae>
6|Yeonsinnae<6:2|Gusan>
6|Gusan<6:3|Eungam>
7|Onsu<7:3|Cheonwang>
7|Cheonwang<7:3|Onsu,7:3|Gwangmyeongsageori>
7|Gwangmyeongsageori<7:3|Cheonwang,7:2|Cheolsan>
7|Cheolsan<7:2|Gwangmyeongsageori,7:3|Gasan Digital Complex>
7|Gasan Digital Complex<7:3|Cheolsan,7:2|Namguro>
7|Namguro<7:2|Gasan Digital Complex,7:2|Daerim>
7|Daerim<7:2|Namguro,7:3|Sinpung>
7|Sinpung<7:3|Daerim,7:2|Boramae>
7|Boramae<7:2|Sinpung,7:2|Sindaebang-samgeori>
7|Sindaebang-samgeori<7:2|Boramae,7:2|Jangseung-baegi>
7|Jangseung-baegi<7:2|Sindaebang-samgeori,7:2|Sangdo>
7|Sangdo<7:2|Jangseung-baegi,7:2|Soongsil University>
7|Soongsil University<7:2|Sangdo,7:3|Namseong>
7|Namseong<7:3|Soongsil University,7:2|Isu>
7|Isu<7:2|Namseong,7:2|Naebang>
7|Naebang<7:2|Isu,7:3|Express Bus Terminal>
7|Express Bus Terminal<7:3|Naebang,7:2|Banpo>
7|Banpo<7:2|Express Bus Terminal,7:2|Nonhyeon>
7|Nonhyeon<7:2|Banpo,7:2|Hak-dong>
7|Hak-dong<7:2|Nonhyeon,7:2|Gangnam-gu Office>
7|Gangnam-gu Office<7:2|Hak-dong,7:2|Cheongdam>
7|Cheongdam<7:2|Gangnam-gu Office,7:3|Ttukseom Resort>
7|Ttukseom Resort<7:3|Cheongdam,7:2|Konkuk University>
7|Konkuk University<7:2|Ttukseom Resort,7:2|Children's Grand Park>
7|Children's Grand Park<7:2|Konkuk University,7:2|Gunja>
7|Gunja<7:2|Children's Grand Park,7:2|Junggok>
7|Junggok<7:2|Gunja,7:2|Yongmasan>
7|Yongmasan<7:2|Junggok,7:2|Sagajeong>
7|Sagajeong<7:2|Yongmasan,7:2|Myeonmok>
7|Myeonmok<7:2|Sagajeong,7:2|Sangbong>
7|Sangbong<7:2|Myeonmok,7:2|Junghwa>
7|Junghwa<7:2|Sangbong,7:2|Meokkol>
7|Meokkol<7:2|Junghwa,7:2|Taereung>
7|Taereung<7:2|Meokkol,7:2|Gongneung>
7|Gongneung<7:2|Taereung,7:2|Hagye>
7|Hagye<7:2|Gongneung,7:2|Junggye>
7|Junggye<7:2|Hagye,7:2|Nowon>
7|Nowon<7:2|Junggye,7:2|Madeul>
7|Madeul<7:2|Nowon,7:3|Suraksan>
7|Suraksan<7:3|Madeul,7:3|Dobongsan>
7|Dobongsan<7:3|Suraksan,7:5|Jangam>
7|Jangam<7:5|Dobongsan>
8|Amsa<8:2|Cheonho>
8|Cheonho<8:2|Amsa,8:3|Gangdong-gu Office>
8|Gangdong-gu Office<8:3|Cheonho,8:3|Mongchontoseong>
8|Mongchontoseong<8:3|Gangdong-gu Office,8:2|Jamsil>
8|Jamsil<8:2|Mongchontoseong,8:3|Seokchon>
8|Seokchon<8:3|Jamsil,8:2|Songpa>
8|Songpa<8:2|Seokchon,8:2|Garak Market>
8|Garak Market<8:2|Songpa,8:2|Munjeong>
8|Munjeong<8:2|Garak Market,8:2|Jangji>
8|Jangji<8:2|Munjeong,8:2|Bokjeong>
8|Bokjeong<8:2|Jangji,8:4|Sanseong>
8|Sanseong<8:4|Bokjeong,8:2|Namhansanseong>
8|Namhansanseong<8:2|Sanseong,8:2|Dandaeogeori>
8|Dandaeogeori<8:2|Namhansanseong,8:2|Sinheung>
8|Sinheung<8:2|Dandaeogeori,8:2|Sujin>
8|Sujin<8:2|Sinheung,8:2|Moran>
8|Moran<8:2|Sujin>
Jungang Line|Paldang<Jungang Line:5|Dosim>
Jungang Line|Dosim<Jungang Line:5|Paldang,Jungang Line:3|Deokso>
Jungang Line|Deokso<Jungang Line:3|Dosim,Jungang Line:4|Yangjeong>
Jungang Line|Yangjeong<Jungang Line:4|Deokso,Jungang Line:4|Donong>
Jungang Line|Donong<Jungang Line:4|Yangjeong,Jungang Line:3|Guri>
Jungang Line|Guri<Jungang Line:3|Donong,Jungang Line:4|Yangwon>
Jungang Line|Yangwon<Jungang Line:4|Guri,Jungang Line:3|Mangu>
Jungang Line|Mangu<Jungang Line:3|Yangwon,Jungang Line:3|Jungnang>
Jungang Line|Jungnang<Jungang Line:3|Mangu,Jungang Line:3|Hoegi>
Jungang Line|Hoegi<Jungang Line:3|Jungnang,Jungang Line:3|Cheongnyangni(Aboveground)>
Jungang Line|Cheongnyangni(Aboveground)<Jungang Line:3|Hoegi,Jungang Line:4|Wangsimni>
Jungang Line|Wangsimni<Jungang Line:4|Cheongnyangni(Aboveground),Jungang Line:2|Eungbong>
Jungang Line|Eungbong<Jungang Line:2|Wangsimni,Jungang Line:3|Oksu>
Jungang Line|Oksu<Jungang Line:3|Eungbong,Jungang Line:3|Hannam>
Jungang Line|Hannam<Jungang Line:3|Oksu,Jungang Line:3|Seobinggo>
Jungang Line|Seobinggo<Jungang Line:3|Hannam,Jungang Line:3|Ichon>
Jungang Line|Ichon<Jungang Line:3|Seobinggo,Jungang Line:4|Yongsan>
Jungang Line|Yongsan<Jungang Line:4|Ichon>
Bundang Line|Bojeong<Bundang Line:3|Jukjeon>
Bundang Line|Jukjeon<Bundang Line:3|Bojeong,Bundang Line:4|Ori>
Bundang Line|Ori<Bundang Line:4|Jukjeon,Bundang Line:2|Migeum>
Bundang Line|Migeum<Bundang Line:2|Ori,Bundang Line:3|Jeongja>
Bundang Line|Jeongja<Bundang Line:3|Migeum,Bundang Line:3|Sunae>
Bundang Line|Sunae<Bundang Line:3|Jeongja,Bundang Line:2|Seohyeon>
Bundang Line|Seohyeon<Bundang Line:2|Sunae,Bundang Line:2|Imae>
Bundang Line|Imae<Bundang Line:2|Seohyeon,Bundang Line:3|Yatap>
Bundang Line|Yatap<Bundang Line:3|Imae,Bundang Line:3|Moran>
Bundang Line|Moran<Bundang Line:3|Yatap,Bundang Line:2|Taepyeong>
Bundang Line|Taepyeong<Bundang Line:2|Moran,Bundang Line:2|Kyungwon University>
Bundang Line|Kyungwon University<Bundang Line:2|Taepyeong,Bundang Line:3|Bokjeong>
Bundang Line|Bokjeong<Bundang Line:3|Kyungwon University,Bundang Line:4|Suseo>
Bundang Line|Suseo<Bundang Line:4|Bokjeong,Bundang Line:4|Daemosan>
Bundang Line|Daemosan<Bundang Line:4|Suseo,Bundang Line:2|Gaepo-dong>
Bundang Line|Gaepo-dong<Bundang Line:2|Daemosan,Bundang Line:2|Guryong>
Bundang Line|Guryong<Bundang Line:2|Gaepo-dong,Bundang Line:2|Dogok>
Bundang Line|Dogok<Bundang Line:2|Guryong,Bundang Line:2|Hanti>
Bundang Line|Hanti<Bundang Line:2|Dogok,Bundang Line:2|Seolleung>
Bundang Line|Seolleung<Bundang Line:2|Hanti>
Incheon Subway Line 1|Gyeyang<Incheon Subway Line 1:3|Gyulhyeon>
Incheon Subway Line 1|Gyulhyeon<Incheon Subway Line 1:3|Gyeyang,Incheon Subway Line 1:3|Bakchon>
Incheon Subway Line 1|Bakchon<Incheon Subway Line 1:3|Gyulhyeon,Incheon Subway Line 1:2|Imhak>
Incheon Subway Line 1|Imhak<Incheon Subway Line 1:2|Bakchon,Incheon Subway Line 1:2|Gyesan>
Incheon Subway Line 1|Gyesan<Incheon Subway Line 1:2|Imhak,Incheon Subway Line 1:3|Gyeongin Nat'l University of Education>
Incheon Subway Line 1|Gyeongin Nat'l University of Education<Incheon Subway Line 1:3|Gyesan,Incheon Subway Line 1:2|Jakjeon>
Incheon Subway Line 1|Jakjeon<Incheon Subway Line 1:2|Gyeongin Nat'l University of Education,Incheon Subway Line 1:2|Galsan>
Incheon Subway Line 1|Galsan<Incheon Subway Line 1:2|Jakjeon,Incheon Subway Line 1:2|Bupyeong-gu Office>
